Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/28/2026,03/01/2026,WHOLEFDS MKT 10255,Groceries,Sale,-84.19,
02/27/2026,02/28/2026,SQ *RIVER CITY COFFEE,Food & Drink,Sale,-6.75,
02/26/2026,02/27/2026,STARBUCKS STORE 08213,Food & Drink,Sale,-5.45,
02/25/2026,02/26/2026,SHELL OIL 57442136703,Gas,Sale,-52.10,
02/24/2026,02/25/2026,AMZN Mktp US*2H45R9OL3,Shopping,Sale,-31.99,
02/22/2026,02/23/2026,TARGET 00021884,Shopping,Sale,-64.30,
02/20/2026,02/21/2026,TST* CORNER SLICE PIZZA,Food & Drink,Sale,-28.50,
02/18/2026,02/19/2026,NETFLIX.COM,Entertainment,Sale,-15.49,
02/16/2026,02/17/2026,SPOTIFY USA,Entertainment,Sale,-11.99,
02/15/2026,02/16/2026,Payment Thank You - Web,,Payment,1250.00,
02/14/2026,02/15/2026,TRADER JOE S #182,Groceries,Sale,-62.44,
02/12/2026,02/13/2026,CHEVRON 00201456,Gas,Sale,-44.80,
02/10/2026,02/11/2026,HILLSIDE FARMERS MARKET,Groceries,Sale,-40.00,
02/08/2026,02/09/2026,MCDONALDS F1188,Food & Drink,Sale,-9.85,
02/05/2026,02/06/2026,CVS/PHARMACY #04412,Health,Sale,-32.40,
02/01/2026,02/02/2026,VZWRLSS*APOCC VISB,Bills & Utilities,Sale,-90.00,
01/30/2026,01/31/2026,WHOLEFDS MKT 10255,Groceries,Sale,-91.02,
01/28/2026,01/29/2026,MAPLE STREET GROCERY CO,Groceries,Sale,-55.31,
01/26/2026,01/27/2026,DUNKIN #337842,Food & Drink,Sale,-4.65,
01/22/2026,01/23/2026,HOME DEPOT #6142,Home,Sale,-127.83,
01/20/2026,01/21/2026,ACE HARDWARE 4417,Home,Sale,-38.22,
01/19/2026,01/20/2026,CLEARWATER SALON,Personal,Sale,-65.00,
01/17/2026,01/18/2026,PLANET FIT CLUB FEES,Health,Sale,-24.99,
01/15/2026,01/16/2026,AMZN Mktp US*1K92LM4Q1,Shopping,Sale,-18.47,
01/12/2026,01/13/2026,SQ *BRICK OVEN BAKERY,Food & Drink,Sale,-11.25,
01/09/2026,01/10/2026,COSTCO WHSE #0442,Groceries,Sale,-210.55,
01/06/2026,01/07/2026,CHIPOTLE 1834,Food & Drink,Sale,-14.80,
01/04/2026,01/05/2026,LOWES #01783,Home,Sale,-88.10,
01/02/2026,01/03/2026,ZELLE TO ALEX RENT SHARE,Transfer,Sale,-650.00,
12/30/2025,12/31/2025,GEICO *AUTO PAYMENT,Insurance,Sale,-118.00,
12/28/2025,12/29/2025,KROGER #0455,Groceries,Sale,-72.18,
12/22/2025,12/23/2025,NORTHSIDE BIKE REPAIR,Personal,Sale,-46.00,
12/18/2025,12/19/2025,ANNUAL MEMBERSHIP FEE,Fees,Fee,-95.00,
